,precision,recall,f1-score,support
freshapples,0.95,0.9743589743589743,0.9620253164556962,78.0
freshbanana,0.9864864864864865,1.0,0.9931972789115646,73.0
freshoranges,0.9565217391304348,0.9705882352941176,0.9635036496350365,68.0
rottenapples,0.9622641509433962,0.9357798165137615,0.9488372093023256,109.0
rottenbanana,1.0,0.9705882352941176,0.9850746268656716,102.0
rottenoranges,0.9342105263157895,0.9594594594594594,0.9466666666666667,74.0
accuracy,0.9662698412698413,0.9662698412698413,0.9662698412698413,0.9662698412698413
macro avg,0.964913817146018,0.9684624534867385,0.9665507913061601,504.0
weighted avg,0.9666177840765511,0.9662698412698413,0.9662972724342387,504.0
